Quantidade_Retweets,Quantidade_Likes,MACRO
12.659228901412016,14.75734661193942,NT
8.704502289721232,10.589056087572523,SP
9.782167017299573,11.669775355790513,NF
5.62040086571715,5.932245187448011,
11.468660048672213,13.422707941059274,NF
5.402677381872279,7.742835955430749,
6.0063531596017325,5.908082938168931,
5.43372200355424,6.645090969505644,
9.07383312732152,11.21388580527766,NF
11.762212283483509,12.125166231636449,NF
10.387301627055269,10.138085253895454,SP
11.97918459231098,13.76250738150859,NT
6.918695219020472,6.964135612418245,
7.456454555176209,9.054154288786854,
11.50492353475117,13.654741860622106,NT
10.944735523814668,12.782935978589375,NF
7.113142108707088,8.716863386544805,NF
9.369052063131004,11.26045608427419,NT
10.39488567863602,11.66708757330361,NT
12.012730585452754,13.818607756688749,NF
8.683554728631462,10.058823244245096,NF
7.656337166430183,9.757305042358047,NF
5.44673737166631,6.259581464064923,
10.288783966353765,12.148920114025865,NT
11.88399234635594,12.745517795604693,SP
7.135687347028144,8.776321456449958,NF
8.995536944936974,10.552055689698106,NF
8.398184404834035,8.709630081951286,NT
6.042632833682381,5.529429087511423,
5.1298987149230735,5.652489180268651,
4.8283137373023015,5.111987788356544,
6.327936783729195,5.739792912179234,
5.0689042022202315,7.267525427828172,
7.365180126021013,9.47378098005493,
9.698552220870587,11.014621121757909,NT
10.094479743833253,11.404850156483693,NF
8.850230965588816,10.574261304119181,SJ
5.5134287461649825,6.483107351457199,
8.90815361332152,10.784544811638616,NF
10.105693432635459,11.455571737940254,NF
7.796880342783522,9.0953783535065,NF
11.689220565768332,13.76172890702602,NT
5.777652323222656,5.905361848054571,
9.210840247017833,8.9445502459405,
9.18266080286944,11.42712789647147,NF
8.387995252944556,10.380342656730965,SJ
7.812782818577581,9.696770838907451,NF
5.7430031878094825,7.338888133838879,
7.905072849498666,7.252762418053187,NF
6.849066282633458,8.537387898701757,NF
5.365976015021851,4.812184355372417,
6.234410725718371,8.429454277108231,
5.755742213586912,6.180016653652572,
6.784457062637643,6.872128101338986,
9.524128691512443,11.389751675273558,NT
8.869257522797287,8.871084263978354,NF
7.515889085215125,7.783224016336037,
9.190137664658664,10.763419550740899,NF
6.949856455000773,9.109303827798412,NF
9.25540933534376,11.147152112903377,NT
10.920871708970335,12.786233082314446,NF
10.372115235601932,12.232402940776204,NF
10.908320156261581,12.97035140890269,NF
5.820082930352362,5.934894195619588,
6.259581464064923,6.171700597410915,
6.311734809152915,8.223090551161533,
9.337149218839878,11.129979878291934,NF
7.1693500166706,8.754476306284166,NT
8.270781013162674,9.678717679477334,NF
6.776506992372183,8.392989587956931,NF
9.7997368515422,12.151014377779969,SJ
7.708859601047175,9.517383797906584,NF
8.340456012916183,9.665357258913595,NF
8.25088114470065,9.871532381294577,NF
6.5722825426940075,7.765569081097317,
5.53338948872752,7.167809184316444,
8.765770543987257,10.6361678974314,NF
6.0112671744041615,7.4673710669175595,
6.836259277277067,8.19118600464279,
6.421622267806518,8.436416881388949,
6.7357800142423265,8.291045131081729,NF
6.066108090103747,5.384495062789089,
12.05583098219963,13.481231514535661,NF
7.8013913202914855,9.75021981613291,NT
6.584791392385716,8.477620416296414,NF
8.317033476492403,10.489800910432063,NF
7.526717561352706,8.613593685702552,NF
6.061456918928017,6.863803391452954,
8.876544550558378,8.76795190976342,NF
4.890349128221754,5.438079308923196,
6.664409020350408,7.926241523170962,
5.030437921392435,6.532334292222349,
5.942799375126701,5.976350909297934,
5.442417710521793,6.710523109452428,
6.812345094177479,8.596558746796978,
6.504288173536645,8.307212626628308,
10.176943917723927,12.20161271480808,NF
6.62273632394984,5.552959584921617,
6.16541785423142,5.003946305945459,
8.675563527387679,10.050613617426421,NT
6.47543271670409,6.089044875446846,
5.176149732573829,6.650279048587422,
5.662960480135946,5.68697535633982,
6.897704943128636,8.971067438732089,NF
7.794411205726601,9.494014423030425,NF
7.721348612617949,9.47738596957752,NF
9.271059107010888,11.214667666146262,NF
8.492490578775866,8.848509300888079,NT
9.073030421011577,10.740800010026575,NF
7.392031567514591,8.424419791263883,NT
7.273786317844895,8.610319169405722,SJ
9.890503624977834,11.235800799789505,NT
5.872117789475416,6.975413927455952,
5.0238805208462765,6.456769655572163,
5.093750200806762,5.676753802268282,
10.233043066543942,12.355393107184714,NT
6.320768294250582,6.6052979209482015,
10.220085016401597,10.099383229357201,NF
6.202535517187923,6.324358962381311,
5.087596335232384,4.812184355372417,
5.476463551931511,7.934871565945177,
7.497207223203318,8.957639268419648,NT
4.867534450455582,6.068425588244111,
5.981414211254481,6.018593214496234,
4.804021044733257,5.683579767338681,
4.8283137373023015,5.676753802268282,
4.795790545596741,5.872117789475416,
5.666426688112432,5.517452896464707,
5.393627546352362,5.883322388488279,
